baseMean log2FoldChange lfcSE stat pvalue padj
XLOC_000001 0.118997016517354 -0.0897290059416808 6.11969039501506 -0.0146623440321052 0.988301561236613 NA
XLOC_000002 11.7783612121164 0.258238233727123 0.701879566350452 0.3679238520504 0.71293001445441 0.931264958273593
XLOC_000003 134.848141554671 0.00545978253144279 0.246600980931578 0.0221401492841493 0.982336159819241 0.996555283514982
XLOC_000004 176.307726280545 -0.220392556400896 0.200368249223038 -1.09993752630722 0.271359342888025 0.704866368786441
XLOC_000005 3.56610450442703 -0.39839226195826 1.24029350676647 -0.321208052597884 0.748052730138848 NA
XLOC_000006 639.634051331022 0.0509453024432275 0.118290574856459 0.430679303951712 0.666701569219763 0.915972132098611
XLOC_000007 5.10854281333451 0.0636885324794022 1.02362958350914 0.0622183390412277 0.950388958340015 NA
XLOC_000008 2635.96431420407 -0.0659314814670338 0.0733804950232293 -0.898487826310828 0.368925532467033 0.779721115946335
XLOC_000009 4.12406911760841 -1.55590176344767 2.17877146546187 -0.714118845464975 0.475153693649999 NA
XLOC_000010 0 NA NA NA NA NA
XLOC_000011 0.332210109562897 -0.382900822049345 4.80943497130388 -0.0796145127928692 0.936543852318294 NA
XLOC_000012 0 NA NA NA NA NA
XLOC_000013 296.916433646027 0.156526209472481 0.160913642811118 0.972734236438939 0.330685404908058 0.754315678387479
XLOC_000014 76.3429265392857 -0.486062167808215 0.356085277720069 -1.36501618634827 0.172247962688548 0.599960307758016
XLOC_000015 209.688576271479 -0.444190093325099 0.170263894769497 -2.60883315236294 0.00908515276145104 0.134568203278522
XLOC_000016 1014.03320508552 0.18907238032376 0.132583524026758 1.42606241395124 0.153850326872322 0.572211316811463
XLOC_000017 5.36300327121802 0.166308926537739 1.13343947383141 0.14672942876743 0.883345589204481 NA
XLOC_000018 70.3394487009254 -0.104307147829982 0.292511069135357 -0.356592139019926 0.721397163260469 0.933643665611306
XLOC_000019 130.048913485504 -0.0958964259512816 0.256031756139067 -0.374548952041693 0.707995943975948 0.930627278282894
XLOC_000020 7.43543002423369 0.867678601655355 0.940395592185185 0.922674041505386 0.356177097514667 NA
XLOC_000021 2.58763143324239 -1.05879097032666 2.11112525225981 -0.501529205428857 0.615998728995468 NA
