baseMean log2FoldChange lfcSE stat pvalue padj
XLOC_000001 1.79277227923785 0.787416070916411 1.58015259651314 0.498316474405047 0.618260997931142 NA
XLOC_000002 1421.70262689154 0.0189392187523661 0.184459029497107 0.102674392270198 0.918221398217219 0.999604262958633
XLOC_000003 22.3728501535604 -0.369640283149207 0.502851551585548 -0.735088281986382 0.462285730353242 0.999604262958633
XLOC_000004 113.041842945273 -0.274073882179148 0.294979885710798 -0.929127359035774 0.352823087361033 0.999604262958633
XLOC_000005 3.75268839186132 1.27301058472772 1.20479472733532 1.05662031534889 0.290684905047833 NA
XLOC_000006 2081.36527646863 -0.0107824676161011 0.0996310495929757 -0.108223968934894 0.913818032158675 0.999604262958633
XLOC_000007 67.3794706340619 -0.0644394175910998 0.381711475591044 -0.168817082303647 0.86594052144005 0.999604262958633
XLOC_000008 3682.32967079989 -0.0767377699631929 0.0954367376956357 -0.804069500027578 0.421356837959375 0.999604262958633
XLOC_000009 1.87552600993143 -1.72115152563485 2.39128422935189 -0.719760329829689 0.471672573818016 NA
XLOC_000010 5.78133221359094 -1.58924892041011 1.18442310642099 -1.34179155387503 0.179663591544004 NA
XLOC_000011 17.6568546101315 0.728170655500129 0.556298877850771 1.30895582301617 0.190549315538031 0.999604262958633
XLOC_000012 1.75815370661369 -0.269532382991509 1.93760117893241 -0.139106223676029 0.889366210262828 NA
XLOC_000013 2.75006752848689 -0.152448492254809 1.32049964621564 -0.115447582808299 0.908090365435645 NA
XLOC_000014 0.235497858714585 -0.321486467978906 5.94413738667237 -0.054084629453506 0.956867738242063 NA
XLOC_000015 44.9075064537047 -0.146021010881529 0.470230570759818 -0.310530662958774 0.756157445480861 0.999604262958633
XLOC_000016 4870.30473181516 0.0529427078245775 0.122319589430228 0.432822805171173 0.665143504353325 0.999604262958633
XLOC_000017 595.281555365902 -0.0171975945220156 0.226861485425435 -0.075806585193449 0.9395729769765 0.999604262958633
XLOC_000018 2.9572532896192 -0.976304821883516 1.32436941302013 -0.737184664856554 0.461010057807287 NA
XLOC_000019 16.5550620064528 -0.134942311066062 0.525183299854468 -0.256943263625206 0.797222571896475 0.999604262958633
XLOC_000020 10.888678070867 -0.153245750856007 0.787574991437252 -0.194579249623389 0.845722348955947 NA
XLOC_000021 0 NA NA NA NA NA
XLOC_000022 70.923683471726 -0.0535152809897334 0.424027613500191 -0.126207065969088 0.899568018258137 0.999604262958633
XLOC_000023 43.9936535628915 -0.0826923107750985 0.300898288988171 -0.274818148860758 0.783455953998688 0.999604262958633
XLOC_000024 6.9853865347343 -0.371766953912864 0.764968144841282 -0.485990111379081 0.62697417706382 NA
XLOC_000025 1.80245155834682 -0.0997431971308525 1.90315171556485 -0.0524094828147997 0.958202418309422 NA
XLOC_000026 3.34611870351645 0.540042350662669 1.66837241514558 0.323694125939828 0.746169618456521 NA
XLOC_000027 292.991209633125 -0.106214418189785 0.23949233783274 -0.443498189340673 0.657405428599546 0.999604262958633
XLOC_000028 0 NA NA NA NA NA
XLOC_000029 3630.15385281631 0.0613630799291369 0.151322034887022 0.405513182366011 0.685100330594551 0.999604262958633
XLOC_000030 15.351252940878 0.440429713061768 0.622625509560917 0.707374989136511 0.479333475416831 0.999604262958633
XLOC_000031 3.25084084424352 -0.394738098550739 1.20189928085186 -0.328428600332439 0.742587621255755 NA
XLOC_000032 415.647636390086 -0.478414275618401 0.176449756428985 -2.711334293119 0.00670130269041453 0.431964430894766
XLOC_000033 72.6081396787948 0.247398909208246 0.396459328818988 0.624020905108279 0.532613856105674 0.999604262958633
XLOC_000034 0 NA NA NA NA NA
XLOC_000035 0.143236179093911 1.14570275209436 6.11598460369987 0.187329240724586 0.851402497994204 NA
XLOC_000036 6.52624787270356 0.737805915134707 0.922218916595015 0.800033378038708 0.423691458753267 NA
XLOC_000037 6.45703630067299 0.657625609433208 1.03566388394631 0.634979764793365 0.525441612486909 NA
XLOC_000038 4.10646022677384 0.449549677818043 1.17896817482975 0.381307729432951 0.702974918881755 NA
XLOC_000039 114.650928424725 -0.161417274241519 0.325033366061865 -0.496617550983353 0.619458774060117 0.999604262958633
